(52.049875259399414, (11.0, [153, 163, 166, 272, 183, 271, 292, 276, 235, 291, 305, 240], 20))
(32.96995162963867, (11.0, [153, 163, 166, 272, 183, 271, 292, 276, 235, 291, 305, 240], 1))
(37.96029090881348, (11.0, [153, 163, 166, 272, 183, 271, 292, 276, 235, 291, 305, 240], 0))
(36.84258460998535, (11.0, [153, 163, 166, 272, 183, 271, 292, 276, 235, 291, 305, 240], 1))
(36.01694107055664, (11.0, [153, 163, 166, 272, 183, 271, 292, 276, 235, 291, 305, 240], 1))
(36.62824630737305, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(36.86785697937012, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(36.908864974975586, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(50.733089447021484, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(36.727190017700195, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(40.834665298461914, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 3))
(38.5739803314209, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(39.28852081298828, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(41.85748100280762, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(40.01331329345703, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(37.96696662902832, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 0))
(40.780067443847656, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(47.33610153198242, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 0))
(37.19663619995117, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(35.54558753967285, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(36.093950271606445, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 0))
(38.60139846801758, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(45.35937309265137, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 0))
(45.067787170410156, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(54.212331771850586, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 2))
(52.55293846130371, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(57.26504325866699, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(49.51834678649902, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(75.44612884521484, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 0))
(45.16720771789551, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(44.00038719177246, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(53.606271743774414, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(41.90850257873535, (14.0, [153, 163, 166, 272, 183, 271, 270, 227, 278, 216, 279, 217, 225, 305, 240], 1))
(38.51723670959473, (None, None, 1))
(35.73131561279297, (None, None, 0))
(33.49781036376953, (None, None, 0))
(30.863285064697266, (None, None, 1))
(39.78586196899414, (None, None, 1))
(41.271209716796875, (None, None, 1))
(39.5200252532959, (None, None, 1))
(46.935081481933594, (None, None, 0))
(43.77865791320801, (None, None, 0))
(34.52897071838379, (None, None, 0))
(36.84067726135254, (None, None, 0))
(39.43991661071777, (None, None, 0))
(38.66171836853027, (None, None, 1))
(35.730600357055664, (None, None, 1))
(42.44565963745117, (None, None, 1))
(40.48800468444824, (None, None, 1))
(39.35503959655762, (None, None, 1))
(43.65682601928711, (None, None, 1))
(36.81039810180664, (None, None, 1))
(37.66131401062012, (None, None, 1))
(43.096303939819336, (None, None, 1))
(34.86752510070801, (None, None, 1))
(36.09061241149902, (None, None, 0))
(41.22781753540039, (None, None, 1))
(34.11126136779785, (None, None, 1))
(32.44948387145996, (None, None, 0))
(31.01348876953125, (None, None, 1))
(36.83733940124512, (None, None, 1))
(34.15560722351074, (None, None, 1))
(34.98244285583496, (None, None, 1))
(34.627676010131836, (None, None, 1))
(34.307241439819336, (None, None, 1))
(31.32033348083496, (None, None, 1))
(36.96322441101074, (None, None, 1))
(33.4935188293457, (None, None, 0))
(31.565427780151367, (None, None, 0))
(33.98489952087402, (None, None, 0))
(31.038284301757812, (None, None, 0))
(29.36863899230957, (None, None, 0))
(35.81047058105469, (None, None, 1))
(24.117469787597656, (None, None, 1))
(35.449981689453125, (None, None, 1))
(36.540985107421875, (None, None, 1))
(35.50314903259277, (None, None, 1))
(28.441905975341797, (None, None, 1))
(35.83717346191406, (None, None, 0))
(29.75749969482422, (None, None, 1))
(31.04114532470703, (None, None, 1))
(24.008750915527344, (None, None, 0))
(25.162696838378906, (None, None, 0))
(30.072689056396484, (None, None, 0))
(27.712583541870117, (None, None, 0))
(38.87677192687988, (None, None, 1))
(29.19745445251465, (None, None, 0))
(28.659343719482422, (None, None, 1))
(39.525508880615234, (None, None, 1))
(31.438350677490234, (None, None, 1))
(30.616044998168945, (None, None, 1))
(30.150175094604492, (None, None, 1))
(24.85799789428711, (None, None, 0))
(27.268648147583008, (None, None, 1))
(46.448707580566406, (None, None, 0))
(30.861616134643555, (None, None, 1))
(28.12957763671875, (None, None, 0))
