execution_time,total_cost,path,query_execution_time
1592.874526977539,2.0,"[346, 379, 360]",1
26323.08006286621,2.0,"[346, 379, 360]",0
23000.001907348633,2.0,"[346, 379, 360]",0
22327.184677124023,2.0,"[346, 379, 360]",0
13234.138488769531,2.0,"[346, 379, 360]",0
10812.28256225586,3.0,"[346, 379, 378, 360]",1
10470.390319824219,3.0,"[346, 379, 378, 360]",1
11956.930160522461,3.0,"[346, 379, 378, 360]",0
15155.315399169922,3.0,"[346, 379, 378, 360]",0
10044.574737548828,4.0,"[346, 379, 381, 399, 360]",0
11035.442352294922,4.0,"[346, 379, 381, 399, 360]",0
11986.732482910156,4.0,"[346, 379, 381, 399, 360]",1
11690.378189086914,4.0,"[346, 379, 381, 399, 360]",1
20708.560943603516,4.0,"[346, 379, 381, 399, 360]",0
12707.948684692383,4.0,"[346, 379, 381, 399, 360]",1
13618.707656860352,4.0,"[346, 379, 381, 399, 360]",1
11764.5263671875,4.0,"[346, 379, 381, 399, 360]",0
10625.362396240234,4.0,"[346, 379, 381, 399, 360]",0
12531.757354736328,4.0,"[346, 379, 381, 399, 360]",0
13190.984725952148,4.0,"[346, 379, 381, 399, 360]",0
12165.78483581543,4.0,"[346, 379, 381, 399, 360]",0
12796.878814697266,4.0,"[346, 379, 381, 399, 360]",1
14032.363891601562,4.0,"[346, 379, 381, 399, 360]",0
12380.361557006836,4.0,"[346, 379, 381, 399, 360]",0
11961.936950683594,4.0,"[346, 379, 381, 399, 360]",0
20220.041275024414,4.0,"[346, 379, 381, 399, 360]",0
13195.037841796875,,,0
13221.263885498047,,,0
17509.937286376953,,,1
10891.199111938477,,,1
13182.401657104492,,,0
13241.291046142578,,,0
11185.407638549805,,,0
24995.56541442871,,,0
13485.67008972168,,,0
11399.74594116211,,,0
24321.556091308594,,,1
17293.691635131836,,,0
11952.400207519531,,,0
10003.328323364258,,,0
12063.980102539062,,,0
12129.068374633789,,,0
18647.67074584961,,,0
12706.756591796875,,,0
11274.099349975586,,,0
